name,price,structure
Подарочный набор «Кедровый»,6 110 руб.,"Кедровое масло, 250 мл — 2 шт,Жмых кедрового ореха, 200 г — 2 шт,Ядро кедрового ореха, 500 г,Мёд с кедровыми орешками, 220 г,Кедровая шишка, 35 г,Подарочная коробка (большая)"
Подарочный набор «День знаний»,958 руб.,"Ядро кедрового ореха, 100 г - подарочная упаковка,Чай чёрный с клубникой и ванилью, 40 г,Тёмный шоколад с клюквой и кедровым орехом, 40 г,Подарочная коробка (малая),Открытка «День знаний»"
"Подарочный набор «Фитнес», 470 г ",1 214 руб.,"Ядро кедрового ореха, 55 г,Шоколад без сахара NEOcolate с какао-крупкой и земляникой, 30 г,Батончик орехово-фруктовый BeGoo кокос + манго, 40 г,Батончик орехово-ягодный BeGoo кешью + черника, 40 г,Урбеч из арахиса, 200 г,Чайный напиток «Брусника», 50 г | крафт-пакет,Пастила BeGoo брусника+кешью, 30 г,Мёд таёжное разнотравье, 25 г,Открытка «Держи баланс»,Подарочная коробка (малая)"
Подарочный набор «Для учителя»,2 814 руб.,"Деревянный блокнот «Путешествие»,Тёмный шоколад с кедровым орехом, 100 г,Ядро кедрового ореха, 100 г - подарочная упаковка,Халва кедровая, 200 г,Чайный напиток Саган-дайля с чёрным чаем и лесными ягодами, 50 г,Подарочная коробка (малая),Открытка «С 1 сентября!»"
Подарочный набор «Hugge»,2 069 руб.,"Сумка-шопер «Я из Сибири»,Цветной шоколад с манго и кокосом, 100 г,Чайный напиток Гречишный с лесными ягодами, 150 г,Открытка «Обнимаю сквозь города»,Паста «Кешью-крем», 180 г,Батончик «Кедровый марципан» с облепихой, 40 г"
Подарочный набор «Осенний»,1 833 руб.,"Кедровая метелица классическая, 150 г,Фрутодень с кедровыми орехами, 200 г | крафт-пакет,Кедровый грильяж ассорти, 40 г - клюква, черника, облепиха,Батончик «Кедровый марципан» классический, 40 г,Чайный напиток «Гармония», 50 г,Тёмный шоколад с кедровым орехом и кристаллами соли, 100 г,Подарочная коробка (малая),Открытка «С 1 сентября!»"
Подарочный набор «Уютный»,1 436 руб.,"Чай зелёный с брусникой и клюквой, 50 г,Мармелад ягодный с брусникой, 200 г,Кедровый грильяж с клюквой, 200 г | крафт-пакет,Цветной шоколад с шиповником и клюквой, 100 г,Батончик «Кедровый марципан» с клюквой, 40 г"
Подарочный набор «Шоколадный»,1 166 руб.,"Молочный шоколад с манго и кедровым орехом, 100 г,Кедровый напиток шоколадный, 120 г,Паста фундучная BeGoo с кэробом и какао, 180 г,Батончик «Кедровый марципан» шоколадный, 40 г,Подарочная коробка (малая)"
Подарочный набор «Сибирское здоровье»,1 106 руб.,"Зелёный чай с лимоном и имбирём, 50 г,Варенье имбирное с брусникой | Immuno Booster, 170 г,Батончик орехово-фруктовый BeGoo кешью + апельсин, 40 г,Батончик орехово-ягодный BeGoo кешью + черника, 40 г,Ядро кедрового ореха, 100 г - подарочная упаковка,Подарочная коробка (малая)"
Подарочный набор «Ягодный»,1 058 руб.,"Мармеладные конфеты «Ягодень» ассорти, 200 г - малина, сосновая шишка, черника, чёрная смородина,Ягодная пастила брусничная с кедровыми орехами, 100 г,Иван-чай с клубникой и вереском, 40 г,Батончик «Кедровый марципан» с клюквой, 40 г,Подарочная коробка (малая), , "
Подарочный набор «Батончиковый»,706 руб.,"Батончик «Кедровый марципан» классический, 40 г,Батончик «Кедровый марципан» с клюквой, 40 г,Батончик орехово-фруктовый BeGoo кешью + апельсин, 40 г,Батончик орехово-фруктовый BeGoo кокос + манго, 40 г,Кедровые палочки, 1 конфета,Кедровые палочки с малиной, 1 конфета,Кедровый грильяж с клюквой, 1 конфета,Кедровый грильяж классический, 1 конфета,Кедровый грильяж с черникой, 1 конфета,Подарочная коробочка с бантом, , "
"Подарочный набор «ImmunoSet №3», 325 г",988 руб.,"Варенье имбирное с сосновой шишкой | Immuno Booster, 170 г,Ягодная пастила ассорти (облепиха, малина, чёрная смородина), 100 г"
"Подарочный набор «ImmunoSet №2», 920 г",2 333 руб.,"Экстракт пихты сибирской, Wellixir, 500 мл,Варенье имбирное с брусникой | Immuno Booster, 170 г,Ягодная пастила облепиховая, 100 г,Ядро кедрового ореха, 100 г - подарочная упаковка,Чайный напиток «Рецепт здоровья», 50 г"
"Подарочный набор «ImmunoSet», 540 г",2 777 руб.,"Чага-чай с саган-дайля - 70 г,Ядро кедрового ореха - 55 г,Кедровое масло с живицей - 100 мл,Мёд с соком брусники - 220 г,Ягодная пастила малиновая - 100г"
"Подарочный набор «Вдохновлённый природой», 240 г",988 руб.,"Кедровый грильяж с клюквой, 200 г"
