name,price,genre
__Календарь 2023г настен.пер.(АСТ) Манга Искусство Японии,404 Р,Календари и гороскопы
"АкадемияРисования Манга Основы и техники д/начинающих (Пауэл М., Нил Д.)",1195 Р,"Культура, музыка, искусство"
Коллекция(Олма) Занимательный Древний Египет (Оппель К.),1431 Р,Художественно-документальная проза
СказкиИМифыНародовМира Испанские сказки,1431 Р,Художественная литература для школьников
СказкиИМифыНародовМира Уральские сказы и легенды,1431 Р,Художественная литература для школьников
"ЛучшаяДетскаяФантастика Крапивин В.П. Выстрел с монитора/Я иду встречать брата [lве повести из цикла ""Великий Кристалл""]",360 Р,Художественная литература для школьников
ЗолКлассикаДетям Верн Ж. Таинственный остров,613 Р,Художественная литература для школьников
РоссияМояСтрана Русский Север (Долматова Т.В.),404 Р,"Развивающая литература, детские энциклопедии"
ПростаяНаукаДляДетей Тайны Руси (Можейко И.В.),343 Р,"Развивающая литература, детские энциклопедии"
"ПерваяДетскаяЭнц Животные (Джонсон Д.,Кей Э.,Паркер С.)",737 Р,"Развивающая литература, детские энциклопедии"
БольшаяНаукаДетям Химия (Оганов А.Р.),654 Р,"Развивающая литература, детские энциклопедии"
РазвивЗанятияДляДошкольников Занимат.задания д/будущих первоклассников (Дмитриева В.Г.),314 Р,"Развивающая литература, детские энциклопедии"
"ЧитайкаПонимайка Иван-царевич,Жар-птица и серый волк Любимые сказки по слогам",529 Р,Детские книжки
ПознаватСказкиДляРазвитияМалыша Немцова Н.Л. Снежные сказки для почемучки,553 Р,Детские книжки
МойЛучшийПодарок Волшебные сказки (Перро Ш./Андерсен Г.Х.и др.;худ.Ведина Е.),553 Р,Детские книжки
ЛучшиеСказкиСПодсказками Лучшие сказки и игры на круглый год,1195 Р,Детские книжки
365СказокИСтихов Лучшие сказки и игры на круглый год,1195 Р,Детские книжки
"СоврБиография Олейников И. Жизнь как песТня, или Все через Же",654 Р,Художественно-документальная проза
КультовыеБиографии-мини Неизвестный Леонардо (Мельци д'Эрил Дж.В.),343 Р,Художественно-документальная проза
МироваяКлассикаВИлл Мифы и легенды викингов (Полевой П.Н.),1431 Р,"Поэзия, афоризмы, мифы"
МирЛюбви Джейн А. Северная корона По звездам,529 Р,Сентиментальная проза
ЛучшаяМироваяКлассика Сартр Ж.-П. Тошнота,238 Р,Российская и зарубежная проза
ЛучшаяМироваяКлассика Готорн Н. Алая буква,199 Р,Российская и зарубежная проза
ЗарКлассика(АСТ)(тв) Готорн Н. Алая буква,273 Р,Российская и зарубежная проза
name,price,genre
__Календарь 2023г настен.пер.(АСТ) Манга Искусство Японии,404 Р,Календари и гороскопы
"АкадемияРисования Манга Основы и техники д/начинающих (Пауэл М., Нил Д.)",1195 Р,"Культура, музыка, искусство"
Коллекция(Олма) Занимательный Древний Египет (Оппель К.),1431 Р,Художественно-документальная проза
СказкиИМифыНародовМира Испанские сказки,1431 Р,Художественная литература для школьников
СказкиИМифыНародовМира Уральские сказы и легенды,1431 Р,Художественная литература для школьников
"ЛучшаяДетскаяФантастика Крапивин В.П. Выстрел с монитора/Я иду встречать брата [lве повести из цикла ""Великий Кристалл""]",360 Р,Художественная литература для школьников
ЗолКлассикаДетям Верн Ж. Таинственный остров,613 Р,Художественная литература для школьников
РоссияМояСтрана Русский Север (Долматова Т.В.),404 Р,"Развивающая литература, детские энциклопедии"
ПростаяНаукаДляДетей Тайны Руси (Можейко И.В.),343 Р,"Развивающая литература, детские энциклопедии"
"ПерваяДетскаяЭнц Животные (Джонсон Д.,Кей Э.,Паркер С.)",737 Р,"Развивающая литература, детские энциклопедии"
БольшаяНаукаДетям Химия (Оганов А.Р.),654 Р,"Развивающая литература, детские энциклопедии"
РазвивЗанятияДляДошкольников Занимат.задания д/будущих первоклассников (Дмитриева В.Г.),314 Р,"Развивающая литература, детские энциклопедии"
"ЧитайкаПонимайка Иван-царевич,Жар-птица и серый волк Любимые сказки по слогам",529 Р,Детские книжки
ПознаватСказкиДляРазвитияМалыша Немцова Н.Л. Снежные сказки для почемучки,553 Р,Детские книжки
МойЛучшийПодарок Волшебные сказки (Перро Ш./Андерсен Г.Х.и др.;худ.Ведина Е.),553 Р,Детские книжки
ЛучшиеСказкиСПодсказками Лучшие сказки и игры на круглый год,1195 Р,Детские книжки
365СказокИСтихов Лучшие сказки и игры на круглый год,1195 Р,Детские книжки
"СоврБиография Олейников И. Жизнь как песТня, или Все через Же",654 Р,Художественно-документальная проза
КультовыеБиографии-мини Неизвестный Леонардо (Мельци д'Эрил Дж.В.),343 Р,Художественно-документальная проза
МироваяКлассикаВИлл Мифы и легенды викингов (Полевой П.Н.),1431 Р,"Поэзия, афоризмы, мифы"
МирЛюбви Джейн А. Северная корона По звездам,529 Р,Сентиментальная проза
ЛучшаяМироваяКлассика Сартр Ж.-П. Тошнота,238 Р,Российская и зарубежная проза
ЛучшаяМироваяКлассика Готорн Н. Алая буква,199 Р,Российская и зарубежная проза
ЗарКлассика(АСТ)(тв) Готорн Н. Алая буква,273 Р,Российская и зарубежная проза
ЗарКлассика(АСТ)(тв) Ирвинг В. Таинственный портрет,343 Р,Российская и зарубежная проза
БибКлассики(АСТ) Кортасар Х. Счастливчики/62/Модель для сборки,696 Р,Российская и зарубежная проза
ЭксклюзивнаяНоваяКлассика-мини Веллер М.И. Приключения майора Звягина,404 Р,Российская и зарубежная проза
ЭксклюзивнаяНоваяКлассика-мини Веллер М.И. Легенды Арбата,384 Р,Российская и зарубежная проза
ФамильныеЦенности Берсенева А. Песчаная роза,488 Р,Российская и зарубежная проза
Конофальский Б. Путь инквизитора Кн. 6 Длань Господня,636 Р,"Фантастика, фэнтези, мистика"
Комиксы(АСТ)(тв) Научное доказательство любви Т.10 (Ямамото Альфред),595 Р,Комиксы и манга
ЛунныеХроники Мейер М. Заклятые враги,529 Р,"Фантастика, фэнтези, мистика"
"Кинг С.-мини Гвенди и ее шкатулка (Кинг С.,Чизмар Р.)",228 Р,"Фантастика, фэнтези, мистика"
"ЧернаяКошка Леонов Н.И.,Макеев А.В. Легенда преступного мира, (Эксмо, 2022), С, c.416",643 Р,Художественная литература
"СудСердца Воронова М.В. Вечный шах, (Эксмо, 2022), 7Б, c.320",475 Р,Художественная литература
"СуперЧерныйТриллер Чизмар Р. Охота на Бугимена, (Эксмо, 2022), 7Б, c.384",577 Р,Художественная литература
"СчастливыеРоманы-м Воронова М.В. Уютная душа, (Эксмо, 2022), Обл, c.320",201 Р,Художественная литература
"ТанкистыТридцатьчетверки Зверев С.И. Укрощенный тигр (они стояли насмерть), (Эксмо, 2022), 7Б, c.320",475 Р,Художественная литература
"УютныйРоман-м Воронова М.В. Мой бедный богатый мужчина, (Эксмо, 2022), Обл, c.352",201 Р,Художественная литература
"РусБест-м Серова М.С. Убийственная связь (цикл ""Частный детектив Татьяна Иванова""), (Эксмо, 2022), Обл, c.288",211 Р,Художественная литература
"СентиментальнаяПроза Волкова М.А. Танинность желаний (лучшее), (АСТ, 2022), 7Б",436 Р,Художественная литература
"СноваПроЛюбовь Лель А. Я тебя получу, (Эксмо, 2022), 7Б, c.320",409 Р,Художественная литература
"СпецназБерии Тамоников А.А. Боевые асы наркома, (Эксмо, 2022), 7Б, c.288",493 Р,Художественная литература
"РоковойСоблазн Колычев В.Г. Сердечный выстрел, (Эксмо, 2022), 7Бц, c.288",517 Р,Художественная литература
"НитиЛюбви Тронина Т.М. Снежный сон, (Эксмо, 2022), 7Б, c.352",364 Р,Художественная литература
"ОкопнаяПравдаПобеды-м Сухов Е. Люди крепче стен (романы, написанные внуками фронтовиков), (Эксмо, 2022), Обл, c.384",211 Р,Художественная литература
"ПереплетениеЧувств-м Грин И. Синдром Фигаро, (Эксмо, 2022), Обл, c.352",193 Р,Художественная литература
"Книги Веллер М.И. Еврейская нота, (АСТ, 2022), 7Б, c.384",708 Р,Художественная литература
"ЛучшаяКриминальнаяДрама Колычев В.Г. Любовь на мушке, (Эксмо, 2022), 7Бц, c.288",517 Р,Художественная литература
"ЛучшиеРоманыОСыщикеДронго-эконом Абдуллаев Ч.А. Синдром жертвы, (Эксмо, 2022), Обл, c.320",193 Р,Художественная литература
"ИроническийДетектив Донцова Д.А. Корона Мышки-норушки (сериал ""Джентельмен сыска Иван Подушкин""), (Эксмо, 2022), 7Бц, c.320",535 Р,Художественная литература
"ИроническийДетектив-м Калинина Дарья Вальс влюбленных попугаев, (Эксмо, 2022), Обл, c.320",201 Р,Художественная литература
"ИроническийДетектив-м(суперэконом) Донцова Д.А. Гиблое место в ипотеку (сериал ""Евлампия Романова. Следствие ведет дилетант""), (Эксмо, 2022), Обл, c.320",176 Р,Художественная литература
